고을산채,31점,리뷰없음,산채정식   소고기버섯전골,부산광역시 영도구 봉래동3가 100-1 ,https://www.diningcode.com/profile.php?rid=qKMwTizCMS8d,"X :129.044777, Y :35.0934575"
아나고뭐해,31점,리뷰없음,한식   문어숙회,부산광역시 영도구 봉래동4가 116-3 ,https://www.diningcode.com/profile.php?rid=aFmOY0o8Na5Y,"X :129.046169, Y :35.0934340"
신미식당,31점,리뷰없음,김치찌개   된장찌개,부산광역시 영도구 봉래동3가 160 ,https://www.diningcode.com/profile.php?rid=WsEJhp6dA5jc,"X :129.045482, Y :35.0948965"
자매보리밥,15점,0점,보리밥   장어탕,부산광역시 영도구 봉래동1가 8-1 ,https://www.diningcode.com/profile.php?rid=H7IVoBPXGVBx,"X :129.039312, Y :35.0936847"
재하식당,15점,5.0점,숯불고기   온국수,부산광역시 영도구 봉래동1가 97-2 ,https://www.diningcode.com/profile.php?rid=QdBN7AgERv5j,"X :129.040589, Y :35.0930233"
부산추어탕,15점,리뷰없음,추어탕,부산시 영도구 봉래동2가 35-5 ,https://www.diningcode.com/profile.php?rid=BW5IZe9G0Bha,"X :129.042676, Y :35.0923033"
청화조개구이,15점,리뷰없음,해물   조개구이,부산광역시 영도구 봉래동3가 18-1 ,https://www.diningcode.com/profile.php?rid=2jdlSnzvpvNF,"X :129.043948, Y :35.0927415"
부산갈매기명가,15점,리뷰없음,한식   갈매기살,부산광역시 영도구 봉래동3가 161-10 ,https://www.diningcode.com/profile.php?rid=IBObgEvGqaJy,"X :129.045276, Y :35.0949900"
맛나감자탕,15점,리뷰없음,감자탕   해물뼈찜,부산광역시 영도구 봉래동3가 137 ,https://www.diningcode.com/profile.php?rid=v0EJmgBQlqP2,"X :129.044795, Y :35.0946016"
백곰반점 백곰반점,15점,리뷰없음,짜장   짬뽕,부산광역시 영도구 봉래동3가 27 ,https://www.diningcode.com/profile.php?rid=VHpbCqtNJVWu,"X :129.044051, Y :35.0924964"
물망초횟집,15점,리뷰없음,생선회   세꼬시,부산광역시 영도구 봉래동3가 15-1 ,https://www.diningcode.com/profile.php?rid=Utctcl5YnyKu,"X :129.043542, Y :35.0927213"
호식이두마리치킨 봉래점,15점,리뷰없음,치킨   후라이드,부산광역시 영도구 봉래동4가 300 ,https://www.diningcode.com/profile.php?rid=h7aRbi94FrND,"X :129.051067, Y :35.0911074"
햇님이네 뒷통구이,15점,리뷰없음,닭갈비   낙지닭갈비,부산광역시 영도구 봉래동4가 158-27 ,https://www.diningcode.com/profile.php?rid=wdWCi864dxTQ,"X :129.049602, Y :35.0921685"
커피가모,15점,리뷰없음,카페   커피,부산광역시 영도구 봉래동3가 50-5 ,https://www.diningcode.com/profile.php?rid=lYzp0CHE8OXN,"X :129.044774, Y :35.0915741"
뚱과장네술창고 본점,15점,리뷰없음,맥주   호프,부산광역시 영도구 봉래동2가 1 ,https://www.diningcode.com/profile.php?rid=Tx7nUkm5Zfpm,"X :129.040785, Y :35.0929570"
티가렛,15점,리뷰없음,카페   쥬스,부산광역시 영도구 봉래동2가 39-5 ,https://www.diningcode.com/profile.php?rid=gztnlsJNw7Mf,"X :129.043040, Y :35.0928469"
