Name,score,userscore,detail
청초횟집,31점,리뷰없음,사하구 | 횟집   참돔,부산광역시 사하구 당리동 111 
황궁쟁반짜장,31점,리뷰없음,하단 | 중국집   쟁반짜장,부산광역시 사하구 당리동 422-5 
함양옻닭,31점,리뷰없음,하단 | 삼계탕   옻닭,부산광역시 사하구 당리동 304-31 
승승삼겹 당리점,15점,5.0점,사하구 | 샐러드바   차돌우삼겹,부산광역시 사하구 당리동 317-7 
제주흑돼지,15점,0점,부산사하구 | 제주흑돼지   제주흑돼지생고기,부산광역시 사하구 당리동 304-13 
하삼동커피 당리점,15점,5.0점,부산사하구 | 카페,부산광역시 사하구 당리동 317-97 
하단 산수갑산 숯불갈비,15점,5.0점,부산사하구 | 돼지갈비   숯불갈비,부산광역시 사하구 당리동 304-4 
영커피 사하구청점,15점,0점,사하구 | 카페   페스츄리,부산광역시 사하구 당리동 317-83 
동대문엽기떡볶이 부산하단점,15점,4.0점,하단 | 떡볶이   로제떡볶이,부산광역시 사하구 당리동 301-21 
엑스피커피,15점,5.0점,하단 | 카페   커피,부산광역시 사하구 당리동 302-7 
쟌쟌,15점,5.0점,당리역 | 쿠시카츠   감바스,부산광역시 사하구 당리동 305-37 
상상짬뽕 당리점,15점,0점,당리역 | 짬뽕   수제군만두,부산광역시 사하구 당리동 324-1 
투썸플레이스 부산하단점,15점,4.0점,하단 | 케이크   밀크티빙수,부산광역시 사하구 당리동 303-7 
숙명돈,15점,5.0점,괴정 | 고기집   항정살,부산광역시 사하구 당리동 324-31 
두꺼비오뎅,15점,5.0점,부산사하구 | 오뎅바   오뎅,부산광역시 사하구 당리동 303-13 
일구보쌈족발,15점,리뷰없음,부산,부산광역시 사하구 당리동 310-28 
꿀돈생포갈비,15점,리뷰없음,하단 | 갈비   생갈비,부산광역시 사하구 당리동 112-1 
LIMITED COFFEE,15점,리뷰없음,사하구 | 커피   에스프레소,부산광역시 사하구 당리동 23-4 
굽네치킨,15점,리뷰없음,하단 | 치킨   치밥,부산광역시 사하구 당리동 324-20 
프로메사 커피로스터스,15점,리뷰없음,당리역 | 커피   로스터리카페,부산광역시 사하구 당리동 316-8 
통영숯불장어구이,15점,리뷰없음,사하구 | 장어   숯불장어구이,부산광역시 사하구 당리동 337-1 
미해아구찜,15점,리뷰없음,부산 | 아구찜   아구탕,부산광역시 사하구 당리동 313-42 
웰빙한방족발,15점,리뷰없음,사하구 | 족발   한방족발,부산광역시 사하구 당리동 317-101 
미사키참치,15점,리뷰없음,하단 | 참치회   참치,부산광역시 사하구 당리동 336-2 
항아리숙성참숯갈비,15점,리뷰없음,하단 | 갈비   참숯갈비,부산시 사하구 당리동 305-25 
린,15점,리뷰없음,부산,부산광역시 사하구 당리동 304-26 
홍가면옥,15점,리뷰없음,부산사하구 | 밀면   냉면,부산광역시 사하구 당리동 168 
옛날왕족발,15점,리뷰없음,부산사하구 | 왕족발,부산광역시 사하구 당리동 326-20 
부산양곱창,15점,리뷰없음,하단 | 곱창   곱창전골,부산광역시 사하구 당리동 313-9 
짱구면가,15점,리뷰없음,부산사하구 | 국수   분식,부산광역시 사하구 당리동 325-13 
파리바게뜨 당리사거리점,15점,리뷰없음,사하구 | 샌드위치   빵집,부산광역시 사하구 당리동 331-47 
천둥산생오리,15점,리뷰없음,사하구 | 오리고기   생오리,부산광역시 사하구 당리동 312-33 
우리돼지국밥,15점,리뷰없음,부산사하구 | 국밥   돼지국밥,부산광역시 사하구 당리동 302-7 
바보돼지두마리,15점,리뷰없음,사하구 | 김치찌개   삼겹살,부산광역시 사하구 당리동 85-3 
목구멍 하단점,15점,리뷰없음,하단 | 고기집   삼겹살,부산광역시 사하구 당리동 305-2 
피자나라 치킨공주 당리점,15점,리뷰없음,사하구 | 피자   치킨,부산광역시 사하구 당리동 342-20 
미소옥,15점,리뷰없음,부산 | 한식   안거미,부산광역시 사하구 당리동 304-45 
부산 당리동,score,userscore,detailsroca+
